clip_file,distance_m,event_position_x,event_position_y,event_position_z,receiver_position_x,receiver_position_y,receiver_position_z,receiver_id,temp,event_id,start_time,duration,low_f,high_f,grid_id,start_timestamp,class_name,json_idx,include,arrival_angle_deg,corrected_dB_max
/bgfs/jkitzes/sml161/data/loca2023_grid3_resampled/MSD-3859/20230603_093000.WAV,135.2659385611654,-8.837048439686455,-8.562455005909214,27.66129420239314,32.48528486385476,117.7964315181598,2.705919999999992,MSD-3859,12.1,grid3_Catharus_guttatus_grid3_63,8458.426955,1.5,1500.0,5500.0,grid3,2023-06-03 11:50:58.426955+00:00,Catharus guttatus,63.0,True,161.89103561473883,51.726943193136776
/bgfs/jkitzes/sml161/data/loca2023_grid3_resampled/MSD-3859/20230603_093000.WAV,146.9648962576153,-15.41722612672438,-14.054530653454677,46.51635194524052,32.48528486385476,117.7964315181598,2.705919999999992,MSD-3859,12.1,grid3_Catharus_guttatus_grid3_75,8496.567621,1.5,1500.0,5500.0,grid3,2023-06-03 11:51:36.567621+00:00,Catharus guttatus,75.0,True,160.03351121853393,46.527580767564835
/bgfs/jkitzes/sml161/data/loca2023_grid3_resampled/MSD-3859/20230603_093000.WAV,144.78804861200743,-16.93475797496545,-16.884454148877992,-16.846507537891664,32.48528486385476,117.7964315181598,2.705919999999992,MSD-3859,12.1,grid3_Catharus_guttatus_grid3_96,9215.07233,1.0,1500.0,5500.0,grid3,2023-06-03 12:03:35.072330+00:00,Catharus guttatus,96.0,True,159.8498034526532,48.679247885974945
/bgfs/jkitzes/sml161/data/loca2023_grid3_resampled/MSD-3861/20230603_093000.WAV,49.57779312331278,76.14311723814424,38.17992353535188,4.6930346506014855,118.12570159463212,64.2914481246844,8.381999999999948,MSD-3861,13.7,grid3_Catharus_guttatus_grid3_9,6144.010246,1.5,1500.0,5500.0,grid3,2023-06-03 11:12:24.010246+00:00,Catharus guttatus,9.0,True,121.87999544919865,46.7271916896349
/bgfs/jkitzes/sml161/data/loca2023_grid3_resampled/MSD-3861/20230603_093000.WAV,155.4911487563859,-13.633225687349366,-18.25974934955559,9.925443763498636,118.12570159463212,64.2914481246844,8.381999999999948,MSD-3861,13.7,grid3_Catharus_guttatus_grid3_21,8076.945205,1.2,1500.0,5500.0,grid3,2023-06-03 11:44:36.945205+00:00,Catharus guttatus,21.0,True,122.06846452379591,44.95907287867587
/bgfs/jkitzes/sml161/data/loca2023_grid3_resampled/MSD-3864/20230603_093000.WAV,16.776869314956652,76.14311723814424,38.17992353535188,4.6930346506014855,86.93168262369,50.88631958235055,6.5950599999999895,MSD-3864,12.8,grid3_Catharus_guttatus_grid3_9,6143.916538,1.5,1500.0,5500.0,grid3,2023-06-03 11:12:23.916538+00:00,Catharus guttatus,9.0,True,139.66655465340523,57.81373469450155
/bgfs/jkitzes/sml161/data/loca2023_grid3_resampled/MSD-3864/20230603_093000.WAV,122.08837409170394,-13.633225687349366,-18.25974934955559,9.925443763498636,86.93168262369,50.88631958235055,6.5950599999999895,MSD-3864,12.8,grid3_Catharus_guttatus_grid3_21,8076.847163,1.2,1500.0,5500.0,grid3,2023-06-03 11:44:36.847163+00:00,Catharus guttatus,21.0,True,124.51149970690685,45.9077618908521
/bgfs/jkitzes/sml161/data/loca2023_grid3_resampled/MSD-3864/20230603_093000.WAV,127.91215672600892,-15.770098167314911,-17.302832430723385,40.71402259257224,86.93168262369,50.88631958235055,6.5950599999999895,MSD-3864,12.8,grid3_Catharus_guttatus_grid3_76,8528.36133,0.6000000000000001,1500.0,5500.0,grid3,2023-06-03 11:52:08.361330+00:00,Catharus guttatus,76.0,True,123.58229019218078,46.09261335771474
/bgfs/jkitzes/sml161/data/loca2023_grid3_resampled/MSD-3872/20230603_093000.WAV,236.05098597736452,-25.365533538504685,-46.015651013066105,23.76434386313849,92.67142106604295,157.90547003410757,9.49824000000001,MSD-3872,14.0,grid3_Catharus_guttatus_grid3_60,8442.179621,1.0,1500.0,5500.0,grid3,2023-06-03 11:50:42.179621+00:00,Catharus guttatus,60.0,True,149.93618206151223,46.90240863479576
/bgfs/jkitzes/sml161/data/loca2023_grid3_resampled/MSD-3874/20230603_093000.WAV,65.64368102948998,2.389160633674514,18.84131816335716,8.64937092904306,34.844743499183096,75.34454789850861,0.7049999999999272,MSD-3874,11.7,grid3_Catharus_guttatus_grid3_13,6424.45158,1.5,1500.0,5500.0,grid3,2023-06-03 11:17:04.451580+00:00,Catharus guttatus,13.0,True,150.12684306849388,51.007652710472435
